Date,Price
2023-07-21,77.19
2023-07-20,77.0
2023-07-19,76.42
2023-07-18,75.84
2023-07-17,75.58
2023-07-14,76.44
2023-07-13,75.86
2023-07-12,75.16
2023-07-11,75.39
2023-07-10,75.89
2023-07-07,75.59
2023-07-06,76.91
2023-07-05,76.87
2023-07-03,77.14
2023-06-30,77.04
2023-06-29,76.56
2023-06-28,75.91
2023-06-27,75.73
2023-06-26,76.64
2023-06-23,77.11
2023-06-22,78.0
2023-06-21,77.62
2023-06-20,77.62
2023-06-16,77.78
2023-06-15,76.8
2023-06-14,75.42
2023-06-13,75.24
2023-06-12,75.72
2023-06-09,75.84
2023-06-08,75.73
2023-06-07,75.2
2023-06-06,75.57
2023-06-05,76.25
2023-06-02,76.05
2023-06-01,74.9
2023-05-31,74.38
2023-05-30,74.95
2023-05-26,76.21
2023-05-25,76.25
2023-05-24,76.48
2023-05-23,77.04
2023-05-22,78.41
2023-05-19,79.93
2023-05-18,79.69
2023-05-17,80.51
2023-05-16,80.77
2023-05-15,81.08
2023-05-12,81.98
2023-05-11,81.63
2023-05-10,81.1
2023-05-09,80.64
2023-05-08,80.75
2023-05-05,80.59
2023-05-04,80.79
2023-05-03,81.26
2023-05-02,80.85
2023-05-01,80.69
2023-04-28,79.8
2023-04-27,77.93
2023-04-26,76.68
2023-04-25,77.7
2023-04-24,77.88
2023-04-21,76.8
2023-04-20,76.36
2023-04-19,75.59
2023-04-18,75.54
2023-04-17,75.7
2023-04-14,75.59
2023-04-13,76.52
2023-04-12,76.05
2023-04-11,76.02
2023-04-10,75.14
2023-04-06,75.68
2023-04-05,75.36
2023-04-04,74.73
2023-04-03,75.36
2023-03-31,75.15
2023-03-30,75.25
2023-03-29,74.47
2023-03-28,74.5
2023-03-27,74.15
2023-03-24,73.42
2023-03-23,71.83
2023-03-22,72.13
2023-03-21,72.38
2023-03-20,73.08
2023-03-17,72.2
2023-03-16,72.95
2023-03-15,72.93
2023-03-14,72.24
2023-03-13,71.5
2023-03-10,71.31
2023-03-09,71.34
2023-03-08,71.96
2023-03-07,71.5
2023-03-06,73.29
2023-03-03,73.95
2023-03-02,73.77
2023-03-01,72.55
2023-02-28,73.3
